id,slug,name,product_image,small_description,quantity,description,original_price,selling_price,status,trending,tag,meta_title,meta_keywords,meta_description,created_at,Category_id
1,Royal Enfield Classic 350,Royal Enfield Classic 350,https://cdni.autocarindia.com/utils/imageresizer.ashx?n=https://cms.haymarketindia.net/model/uploads/modelimages/Royal-Enfield-Classic-350-130120211558.png,The Royal Enfield Classic 350 is the Chennai-based bikemaker's best-selling motorcycle in the country for several years,10,"Royal Enfield gave the Classic a major overhaul, complete with a brand new J-platform engine and chassis upgrade back in 2021.",175000,175000,0,1,New,Royal Enfield Classic 350,Royal Enfield Classic 350,,,
2,Honda Dio,Honda Dio,https://media.zigcdn.com/media/model/2021/Aug/lest-side-view-620226833_930x620.jpg,1st owner,350,,45000,45000,0,,,Honda Dio,Honda Dio,,,
3,Royal Enfield Classic Gunmetal Grey,Royal Enfield Classic Gunmetal Grey,Individual,1st owner,5650,,150000,150000,0,,,Royal Enfield Classic Gunmetal Grey,Royal Enfield Classic Gunmetal Grey,,,
4,Yamaha Fazer FI V 2.0 [2016-2018],Yamaha Fazer FI V 2.0 [2016-2018],Individual,1st owner,12000,148114,65000,65000,0,1,,Yamaha Fazer FI V 2.0 [2016-2018],Yamaha Fazer FI V 2.0 [2016-2018],,,
5,Yamaha SZ [2013-2014],Yamaha SZ [2013-2014],Individual,1st owner,23000,89643,20000,20000,0,,,Yamaha SZ [2013-2014],Yamaha SZ [2013-2014],,,
6,Honda CB Twister,Honda CB Twister,Individual,2nd owner,21000,,18000,18000,0,,,Honda CB Twister,Honda CB Twister,,,
7,Honda CB Hornet 160R,Honda CB Hornet 160R,Individual,1st owner,60000,53857,78500,78500,0,,,Honda CB Hornet 160R,Honda CB Hornet 160R,,,
8,Royal Enfield Bullet 350 [2007-2011],Royal Enfield Bullet 350 [2007-2011],Individual,1st owner,17000,87719,180000,180000,0,,New,Royal Enfield Bullet 350 [2007-2011],Royal Enfield Bullet 350 [2007-2011],,,
9,Hero Honda CBZ extreme,Hero Honda CBZ extreme,Individual,2nd owner,39000,,30000,30000,0,,,Hero Honda CBZ extreme,Hero Honda CBZ extreme,,,
10,Bajaj Discover 125,Bajaj Discover 125,Individual,1st owner,32000,,50000,50000,0,,,Bajaj Discover 125,Bajaj Discover 125,,,
11,Yamaha FZ16,Yamaha FZ16,Individual,1st owner,42000,60122,35000,35000,0,,,Yamaha FZ16,Yamaha FZ16,,,
12,Honda Navi,Honda Navi,Individual,1st owner,32000,78712,28000,28000,0,,,Honda Navi,Honda Navi,,,
13,Bajaj Avenger Street 220,Bajaj Avenger Street 220,Individual,2nd owner,10000,47255,80000,80000,0,,,Bajaj Avenger Street 220,Bajaj Avenger Street 220,,,
14,Yamaha YZF R3,Yamaha YZF R3,Individual,1st owner,21178,95955,365000,365000,0,,,Yamaha YZF R3,Yamaha YZF R3,,,
15,Jawa 42,Jawa 42,Individual,1st owner,1127,351680,185000,185000,0,,,Jawa 42,Jawa 42,,,
16,Suzuki Access 125 [2007-2016],Suzuki Access 125 [2007-2016],Individual,1st owner,1700,,25000,25000,0,,,Suzuki Access 125 [2007-2016],Suzuki Access 125 [2007-2016],,,
17,Hero Honda Glamour,Hero Honda Glamour,Individual,1st owner,55000,58314,25000,25000,0,,New,Hero Honda Glamour,Hero Honda Glamour,,,
18,Yamaha YZF R15 S,Yamaha YZF R15 S,Individual,1st owner,27000,,40000,40000,0,,,Yamaha YZF R15 S,Yamaha YZF R15 S,,,
19,Royal Enfield Classic Gunmetal Grey,Royal Enfield Classic Gunmetal Grey,Individual,2nd owner,45000,117926,150000,150000,0,,,Royal Enfield Classic Gunmetal Grey,Royal Enfield Classic Gunmetal Grey,,,
20,Yamaha FZ25,Yamaha FZ25,Individual,1st owner,23000,148114,120000,120000,0,,,Yamaha FZ25,Yamaha FZ25,,,
